scope,candidate,reference,n_team_seasons,mean_delta_nll,median_delta_nll,fraction_team_seasons_improved
aggregate,R2,R1,534,0.002409708257087321,-2.347831965288094e-06,0.5
2022,R2,R1,131,0.004341577183435021,-0.0006504463018872642,0.5343511450381679
2023,R2,R1,133,0.0031478743562006473,0.003443343608881211,0.42857142857142855
2024,R2,R1,134,0.0024562476988968006,-0.001981633635167679,0.5298507462686567
2025,R2,R1,136,-0.00021887413803099801,-7.693814234599472e-06,0.5073529411764706
