season,subdivision,team_id,team_name,transfer_in_prior_usage_sum,transfer_in_prior_defensive_impact_db_sum,transfer_in_prior_defensive_impact_db_available,provenance_class
2026,fbs,103,Boston College,1.345,-0.36584821962756586,1,retrospective_2026_reconstruction
2026,fbs,113,Massachusetts,1.33,0.6543903651987985,1,retrospective_2026_reconstruction
2026,fbs,12,Arizona,0.295,0.0,0,retrospective_2026_reconstruction
2026,fbs,120,Maryland,1.053,0.7527534961917821,1,retrospective_2026_reconstruction
2026,fbs,127,Michigan State,0.618,0.0,0,retrospective_2026_reconstruction
2026,fbs,130,Michigan,0.533,0.0,0,retrospective_2026_reconstruction
2026,fbs,135,Minnesota,0.631,0.0,0,retrospective_2026_reconstruction
2026,fbs,142,Missouri,0.876,0.5064247934676616,1,retrospective_2026_reconstruction
2026,fbs,145,Ole Miss,1.332,0.0,0,retrospective_2026_reconstruction
2026,fbs,150,Duke,1.245,3.0314658820709037,1,retrospective_2026_reconstruction
2026,fbs,151,East Carolina,0.654,1.2111988410860026,1,retrospective_2026_reconstruction
2026,fbs,152,NC State,0.865,0.7232820685302859,1,retrospective_2026_reconstruction
2026,fbs,153,North Carolina,0.458,0.4218846608014349,1,retrospective_2026_reconstruction
2026,fbs,154,Wake Forest,0.5509999999999999,0.0,0,retrospective_2026_reconstruction
2026,fbs,158,Nebraska,0.8979999999999999,0.0,0,retrospective_2026_reconstruction
2026,fbs,16,Sacramento State,0.779,0.0,0,retrospective_2026_reconstruction
2026,fbs,164,Rutgers,0.673,2.407668529696715,1,retrospective_2026_reconstruction
2026,fbs,166,New Mexico State,0.31,0.0,0,retrospective_2026_reconstruction
2026,fbs,167,New Mexico,0.115,2.3642411706400095,1,retrospective_2026_reconstruction
2026,fbs,183,Syracuse,1.901,2.3156243841040562,1,retrospective_2026_reconstruction
2026,fbs,189,Bowling Green,0.402,0.0,0,retrospective_2026_reconstruction
2026,fbs,193,Miami (OH),0.484,-1.148708274222761,1,retrospective_2026_reconstruction
2026,fbs,194,Ohio State,0.371,-1.4332324873483224,1,retrospective_2026_reconstruction
2026,fbs,195,Ohio,0.677,0.8690376723696669,1,retrospective_2026_reconstruction
2026,fbs,197,Oklahoma State,1.988,0.0,0,retrospective_2026_reconstruction
2026,fbs,2,Auburn,1.827,0.0,0,retrospective_2026_reconstruction
2026,fbs,2005,Air Force,0.0,0.0,1,retrospective_2026_reconstruction
2026,fbs,2006,Akron,0.081,-2.1913855409945624,1,retrospective_2026_reconstruction
2026,fbs,201,Oklahoma,0.484,-1.1016658202271334,1,retrospective_2026_reconstruction
2026,fbs,202,Tulsa,1.03,0.9560524252856196,1,retrospective_2026_reconstruction
2026,fbs,2026,App State,0.785,0.0,0,retrospective_2026_reconstruction
2026,fbs,2032,Arkansas State,0.151,2.4796174748013864,1,retrospective_2026_reconstruction
2026,fbs,204,Oregon State,0.927,0.44666248664989927,1,retrospective_2026_reconstruction
2026,fbs,2050,Ball State,0.238,0.0,0,retrospective_2026_reconstruction
2026,fbs,2084,Buffalo,0.041,-0.3731034770932677,1,retrospective_2026_reconstruction
2026,fbs,21,San Diego State,0.174,3.3313492982417845,1,retrospective_2026_reconstruction
2026,fbs,2116,UCF,1.0130000000000001,0.0,0,retrospective_2026_reconstruction
2026,fbs,2117,Central Michigan,0.35100000000000003,2.6695416323319505,1,retrospective_2026_reconstruction
2026,fbs,213,Penn State,1.22,0.0,0,retrospective_2026_reconstruction
2026,fbs,2132,Cincinnati,1.4280000000000002,0.0,0,retrospective_2026_reconstruction
2026,fbs,218,Temple,0.239,0.1169692382634421,1,retrospective_2026_reconstruction
2026,fbs,2199,Eastern Michigan,0.03,0.0,1,retrospective_2026_reconstruction
2026,fbs,221,Pittsburgh,0.27399999999999997,0.0,0,retrospective_2026_reconstruction
2026,fbs,2226,Florida Atlantic,0.28400000000000003,-0.8276450733169174,1,retrospective_2026_reconstruction
2026,fbs,2229,Florida International,0.5559999999999999,0.0,0,retrospective_2026_reconstruction
2026,fbs,2247,Georgia State,1.164,0.0,0,retrospective_2026_reconstruction
2026,fbs,228,Clemson,0.113,2.345613531120895,1,retrospective_2026_reconstruction
2026,fbs,2294,Iowa,0.496,3.100129596139086,1,retrospective_2026_reconstruction
2026,fbs,23,San José State,0.447,0.0,0,retrospective_2026_reconstruction
2026,fbs,2305,Kansas,1.235,0.0,0,retrospective_2026_reconstruction
2026,fbs,2306,Kansas State,0.628,4.299075610462948,1,retrospective_2026_reconstruction
2026,fbs,2309,Kent State,0.018,-0.11808826585095816,1,retrospective_2026_reconstruction
2026,fbs,2335,Liberty,0.866,0.0,0,retrospective_2026_reconstruction
2026,fbs,2348,Louisiana Tech,0.08,-0.42257386622823273,1,retrospective_2026_reconstruction
2026,fbs,235,Memphis,0.537,0.0,0,retrospective_2026_reconstruction
2026,fbs,238,Vanderbilt,0.22899999999999998,1.4799739109455348,1,retrospective_2026_reconstruction
2026,fbs,239,Baylor,0.8170000000000001,0.0,0,retrospective_2026_reconstruction
2026,fbs,2390,Miami,0.7709999999999999,1.3567469561263537,1,retrospective_2026_reconstruction
2026,fbs,2393,Middle Tennessee,0.027,0.0,0,retrospective_2026_reconstruction
2026,fbs,24,Stanford,0.131,0.9630294215153656,1,retrospective_2026_reconstruction
2026,fbs,242,Rice,0.279,0.0,0,retrospective_2026_reconstruction
2026,fbs,2426,Navy,0.0,0.0,1,retrospective_2026_reconstruction
2026,fbs,2429,Charlotte,0.666,-1.1016658202271334,1,retrospective_2026_reconstruction
2026,fbs,2433,UL Monroe,0.094,0.0,0,retrospective_2026_reconstruction
2026,fbs,2439,UNLV,0.564,1.600041026874097,1,retrospective_2026_reconstruction
2026,fbs,2440,Nevada,0.46499999999999997,0.35977760236776035,1,retrospective_2026_reconstruction
2026,fbs,2449,North Dakota State,0.0,0.0,1,retrospective_2026_reconstruction
2026,fbs,245,Texas A&M,0.178,1.3851546962626848,1,retrospective_2026_reconstruction
2026,fbs,2459,Northern Illinois,0.631,0.0,0,retrospective_2026_reconstruction
2026,fbs,248,Houston,0.367,2.468122780587415,1,retrospective_2026_reconstruction
2026,fbs,2483,Oregon,0.73,1.0244910242932468,1,retrospective_2026_reconstruction
2026,fbs,249,North Texas,1.42,0.0,0,retrospective_2026_reconstruction
2026,fbs,25,California,1.316,0.0,0,retrospective_2026_reconstruction
2026,fbs,2509,Purdue,0.8140000000000001,0.0,0,retrospective_2026_reconstruction
2026,fbs,251,Texas,0.794,1.1084653047763724,1,retrospective_2026_reconstruction
2026,fbs,252,BYU,0.062,1.0083013694001783,1,retrospective_2026_reconstruction
2026,fbs,2534,Sam Houston,0.017,0.0,0,retrospective_2026_reconstruction
2026,fbs,254,Utah,0.761,0.15051801035557077,1,retrospective_2026_reconstruction
2026,fbs,256,James Madison,0.717,0.0,0,retrospective_2026_reconstruction
2026,fbs,2567,SMU,0.633,-1.1016658202271334,1,retrospective_2026_reconstruction
2026,fbs,2572,Southern Miss,0.368,0.0,0,retrospective_2026_reconstruction
2026,fbs,2579,South Carolina,0.664,1.4094746761893082,1,retrospective_2026_reconstruction
2026,fbs,258,Virginia,1.667,9.498285458937637,1,retrospective_2026_reconstruction
2026,fbs,259,Virginia Tech,0.74,0.0,0,retrospective_2026_reconstruction
2026,fbs,26,UCLA,1.108,0.0,0,retrospective_2026_reconstruction
2026,fbs,2623,Missouri State,0.65,0.0,0,retrospective_2026_reconstruction
2026,fbs,2628,TCU,0.557,5.3080800185286545,1,retrospective_2026_reconstruction
2026,fbs,2633,Tennessee,0.5690000000000001,5.205217846155789,1,retrospective_2026_reconstruction
2026,fbs,2636,UTSA,0.097,0.0,0,retrospective_2026_reconstruction
2026,fbs,2638,UTEP,1.05,0.0,0,retrospective_2026_reconstruction
2026,fbs,264,Washington,0.507,1.9268759944967444,1,retrospective_2026_reconstruction
2026,fbs,2641,Texas Tech,1.405,0.0,0,retrospective_2026_reconstruction
2026,fbs,2649,Toledo,0.543,0.0,0,retrospective_2026_reconstruction
2026,fbs,265,Washington State,0.709,4.160141549150728,1,retrospective_2026_reconstruction
2026,fbs,2653,Troy,0.07,1.3773118319957047,1,retrospective_2026_reconstruction
2026,fbs,2655,Tulane,0.23,-0.37020721717696453,1,retrospective_2026_reconstruction
